Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,5.668423701,4.622149233,7.259298338,5.502360792,5.840147718,6.085465576,5.940385123,5.77947771,4.843049327,5.001186991,5.391717225,5.465576365,5.518332894,5.74254814,5.710894223,6.481139541,5.990503825,5.122336227,6.006314128,6.499634998
Africa Western and Central,AFW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,17.42627346,9.991532599,16.81511696,17.02322484,17.01082431,17.03987347,17.28796429,12.75664444,13.45482415,14.30143014,14.56210226,14.99044785,15.24701874,15.61487875
Andorra,AND,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,19.37292888,18.3011583,12.76878152,20.92778071,21.56862745,21.63009404,21.83428869,21.83428869,21.40144073,23.1557377,23.03745511
Argentina,ARG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,1.053531194,,,,,,,,,,,,,,,,1.283426292,,
Armenia,ARM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,8.762240947,8.824704606,8.906678866,8.921720208,8.945244957,9.104293033,9.17409388,9.162210339,9.198548224,9.22645673,9.231870229,9.229759561,9.235080188,9.254621348,9.272076372
American Samoa,ASM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,0.5499231951,0.5693512304,0.541069397,0.608246013,0.5862564903,0.6220345857,0.4827346428,0.4754834467,0.4582870319,0.4891437195,0.4955556509,0.5531213508,0.6396341873,0.6306503607,0.6173463672,0.6266746837,0.603490239,0.6402986946,0.5393445653,0.4275173916
Austria,AUT,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,1.178415586,,1.40016802,,1.554715381,,,0.9527921704,,,1.919084082,,,1.430620522,,,,
Azerbaijan,AZE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,29.98567094,29.99009463,29.92891095,30.03217733,30.05085529,30.03574432,30.05571323,30.05234722,29.52515082,29.47679785,29.45456833,29.52624625,29.65113841,29.72304338,30.00125791,29.81143935,29.92987964,29.98849252,30.01443605,30.64580239
Burundi,BDI,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,0.1364746444,,0.2458423717,,0.4170019753,,,,,,0.4264870932,,,,,,,
Benin,BEN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,0.2763744428,,,,,0.4746268657,,,,,0.4586666667,,,,,0.435443038,,,
Burkina Faso,BFA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,51.34613322,51.12232843,52.61853448,,,,,,,57.91118776,57.99248524,57.808375,57.77603315,57.92693471,57.86753174,78.99441341,82.08261792
Bulgaria,BGR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,1.483289523,,1.025641026,,1.426896013,,,1.781472684,,,1.975975976,,,1.850229038,,,,
